X,Y,MAPSOURCE,SOURCEDATE,EDITDATE,MAPMETHOD,QUADNAME,UNITNAME,COUNTY,STATE,X_COORD,Y_COORD,LAT,LON,WATERSHED,STREAMNAME,ELEVATION,YEAR,NOTES,COORD_UNITS,COORD_SYSTEM,DATUM,UTM_ZONE,MANAGEMENTZONE,PARKDISTRICT,CREATEDATE,UNITCODE,VEG_CLASS,LANDFORM,GlobalID,LOC_NAME,LOC_ID,TRAIL,ROAD,VALID_RESULT,DDMLat,DDMLon,DMSLat,DMSLon,Carto_Type,FEATURE_ID,MTFCC,IMARS_NAME,IMARS_ID,RVP_NAME,PUBLICDISPLAY,DATAACCESS,REGIONCODE,CREATEUSER,EDITUSER,XYACCURACY,ZACCURACY,OBJECTID
-83.1821153,35.56677555,,,2020-04-13T04:50:42.955Z,Derived/Calculated,BUNCHES BALD,Great Smoky Mountians National Park,Swain,North Carolina,302245.87,3938089.47,35.56676868,-83.18211134,Lower Raven Fork,Flat Creek,5250.952637,,,m,UTM,NAD83,17,,Oconaluftee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",d08b46c8-945f-43c8-9023-d3e1c663fd26,Flat Creek Bald,,Flat Creek Trail,Heintooga Ridge Road,Certified,35° 34.006' N,83° 10.927' W,"35° 34' 0.367"" N","83° 10' 55.601"" W",Summit,1020269,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,11
-83.17626167,35.58149576,,,2020-04-13T04:50:42.955Z,Derived/Calculated,BUNCHES BALD,Great Smoky Mountians National Park,Haywood,North Carolina,302812.54,3939710.68,35.58148888,-83.17625771,Upper Cataloochee Creek,Bunches Creek,1819,,,m,UTM,NAD83,17,,Cataloochee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",c6f5dc4c-74ed-464c-bacf-5c2a11cb87e2,Cataloochee Balsam,,Flat Creek Trail,Balsam Mountain Road,Certified,35° 34.889' N,83° 10.575' W,"35° 34' 53.360"" N","83° 10' 34.528"" W",Summit,982745,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,12
-83.17626168,35.58177358,,,2020-04-13T04:50:42.955Z,Derived/Calculated,BUNCHES BALD,Great Smoky Mountians National Park,Haywood,North Carolina,302813.22,3939741.5,35.58176671,-83.17625773,Upper Cataloochee Creek,Horse Creek,5942.396484,,,m,UTM,NAD83,17,,Cataloochee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",16a8b0c8-f075-441d-8a47-00dbd88e9ca9,Balsam Mountain,,Flat Creek Trail,Balsam Mountain Road,Certified,35° 34.906' N,83° 10.575' W,"35° 34' 54.360"" N","83° 10' 34.528"" W",Summit,1018947,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,13
-83.28848914,35.58621625,,,2020-04-13T04:50:42.955Z,Derived/Calculated,SMOKEMONT,Great Smoky Mountians National Park,Swain,North Carolina,292654.24,3940465.04,35.58620938,-83.28848515,Bradley Fork,,5033.326172,,,m,UTM,NAD83,17,,Oconaluftee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Upper slopes, mesas",50d9f20c-1d6f-4228-a696-2ca1a68e5945,Becks Bald,,Chasten Creek Trail,Bradley Fork Trailhead Parking,Certified,35° 35.173' N,83° 17.309' W,"35° 35' 10.354"" N","83° 17' 18.547"" W",Summit,980876,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,14
-83.20931878,35.59455062,,,2020-04-13T04:50:42.955Z,Derived/Calculated,BUNCHES BALD,Great Smoky Mountians National Park,Swain,North Carolina,299849.32,3941225.65,35.59454375,-83.20931481,Straight Fork Raven Fork,Rock Camp Run,1587,,,m,UTM,NAD83,17,,Oconaluftee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",fe59f013-72b3-4fab-b143-facc855e6ded,Potato Hill Bald,,Hyatt Ridge Trail,Balsam Mountain Road,Certified,35° 35.673' N,83° 12.559' W,"35° 35' 40.358"" N","83° 12' 33.533"" W",Summit,992742,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,15
-83.15959502,35.62093989,,,2020-04-13T04:50:42.955Z,Derived/Calculated,BUNCHES BALD,Great Smoky Mountians National Park,Haywood,North Carolina,304418.97,3944053.06,35.620933,-83.15959106,Upper Cataloochee Creek,Messer Fork,1512,,,m,UTM,NAD83,17,,Cataloochee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",b71d9614-1b98-4ea4-873b-47c07746153f,Shanty Mountain,,Palmer Creek Trail,Balsam Mountain Road,Certified,35° 37.256' N,83° 9.575' W,"35° 37' 15.359"" N","83° 9' 34.528"" W",Summit,1027459,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,16
-83.35315987,35.60764671,,,2020-04-13T04:50:42.955Z,Derived/Calculated,SMOKEMONT,Great Smoky Mountians National Park,Swain,North Carolina,286850.63,3942980.7,35.60763984,-83.35315586,Upper Oconaluftee River,,4891.759277,,,m,UTM,NAD83,17,,Oconaluftee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",0d04b4a0-464e-433a-b8d7-b71436dca64d,Richland Mountain,,Dry Sluice Gap Trail,Quiet Walkway Parking # 6,Certified,35° 36.458' N,83° 21.189' W,"35° 36' 27.503"" N","83° 21' 11.361"" W",Summit,993321,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,17
-83.33372973,35.53376619,,,2020-04-13T04:50:42.955Z,Derived/Calculated,SMOKEMONT,Great Smoky Mountians National Park,Swain,North Carolina,288416.63,3934742.7,35.53375934,-83.33372573,Lower Oconaluftee River,,3952.171143,,,m,UTM,NAD83,17,,Oconaluftee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",11b1e211-5f41-40ef-8eea-deaf0379f002,Mount Stand Watie,,Mingus Creek Trail,Mingus Mill Access Road,Certified,35° 32.026' N,83° 20.024' W,"35° 32' 1.534"" N","83° 20' 1.413"" W",Summit,1004641,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,18
-83.3588448,35.5440943,,,2020-04-13T04:50:42.955Z,Derived/Calculated,SMOKEMONT,Great Smoky Mountians National Park,Swain,North Carolina,286166.63,3935942.7,35.54408744,-83.35884079,Lower Oconaluftee River,,5154.667969,,,m,UTM,NAD83,17,,Oconaluftee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Upper slopes, mesas",b9a4c4ac-0efe-4db2-a6d3-18267a984b85,Newton Bald,,Newton Bald Trail,Newfound Gap Road South,Certified,35° 32.645' N,83° 21.530' W,"35° 32' 38.715"" N","83° 21' 31.827"" W",Summit,1021646,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,19
-83.32469475,35.54740801,,,2020-04-13T04:50:42.955Z,Derived/Calculated,SMOKEMONT,Great Smoky Mountians National Park,Swain,North Carolina,289271.63,3936236.7,35.54740115,-83.32469075,Lower Oconaluftee River,,3849.652344,,,m,UTM,NAD83,17,,Oconaluftee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",373557a3-a495-428d-bb66-f64f33406621,Mount Clark,,Newton Bald Trail,Newfound Gap Road South,Certified,35° 32.844' N,83° 19.481' W,"35° 32' 50.644"" N","83° 19' 28.887"" W",Summit,1004645,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,20
-83.11959196,35.55149697,,,2020-04-13T04:50:42.955Z,Derived/Calculated,DELLWOOD,Great Smoky Mountians National Park,Haywood,North Carolina,307876.43,3936270.8,35.5514901,-83.11958802,Upper Cataloochee Creek,,5655.656738,,,m,UTM,NAD83,17,,Cataloochee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Upper slopes, mesas",a5d37271-0197-4c8a-ab9e-527bd098d481,Little Bald Knob,,Hemphill Bald Trail,Heintooga Ridge Road,Certified,35° 33.089' N,83° 7.175' W,"35° 33' 5.364"" N","83° 7' 10.517"" W",Summit,1021166,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,21
-83.06187628,35.58448073,,,2020-04-13T04:50:42.955Z,Derived/Calculated,DELLWOOD,Great Smoky Mountians National Park,Haywood,North Carolina,313185.26,3939818.63,35.58447385,-83.06187235,Lower Johnathans Creek,,5085.373047,,,m,UTM,NAD83,17,,Cataloochee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",2c8c80c1-a6c2-4491-a807-72913de106a9,Purchase Knob,,Ferguson Cabin Trail,The Purchase Road,Certified,35° 35.068' N,83° 3.712' W,"35° 35' 4.106"" N","83° 3' 42.740"" W",Summit,1014675,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,22
-83.17009759,35.67168687,,,2020-04-13T04:50:42.955Z,Derived/Calculated,LUFTEE KNOB,Great Smoky Mountians National Park,Haywood,North Carolina,303591.99,3949703.56,35.67167998,-83.17009363,Big Creek,,6030.334473,,,m,UTM,NAD83,17,,Cosby District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Upper slopes, mesas",1a95ba18-2727-42ae-8035-21b4a01bf948,Big Butt,,Mount Sterling Ridge Trail,Balsam Mountain Road,Certified,35° 40.301' N,83° 10.206' W,"35° 40' 18.048"" N","83° 10' 12.337"" W",Summit,1027378,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,23
-83.24851385,35.6800634,,,2020-04-13T04:50:42.955Z,Derived/Calculated,LUFTEE KNOB,Great Smoky Mountians National Park,Swain,North Carolina,296514.92,3950792.51,35.68005651,-83.24850987,Upper Raven Fork,,6162.383789,,,m,UTM,NAD83,17,,Oconaluftee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Upper slopes, mesas",242bdd33-b055-4aeb-934b-ca7396b61871,Marks Knob,,Balsam Mountain Trail,Beech Gap Trailhead Parking #2,Certified,35° 40.803' N,83° 14.911' W,"35° 40' 48.203"" N","83° 14' 54.636"" W",Summit,989348,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,24
-83.23320924,35.63260541,,,2020-04-13T04:50:42.955Z,Derived/Calculated,LUFTEE KNOB,Great Smoky Mountians National Park,Swain,North Carolina,297780.5,3945496.12,35.63259853,-83.23320526,Straight Fork Raven Fork,Hyatt Creek,5131.216309,,,m,UTM,NAD83,17,,Oconaluftee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",7367d2a9-b948-45c3-ad1e-d49cb4cccae8,Hyatt Bald,,Hyatt Ridge Trail,Beech Gap Trailhead Parking #2,Certified,35° 37.956' N,83° 13.992' W,"35° 37' 57.355"" N","83° 13' 59.539"" W",Summit,987298,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,25
-83.20209721,35.64288345,,,2020-04-13T04:50:42.955Z,Derived/Calculated,LUFTEE KNOB,Great Smoky Mountians National Park,Swain,North Carolina,300623.73,3946572.74,35.64287656,-83.20209324,Straight Fork Raven Fork,Table Rock Branch,1578,,,m,UTM,NAD83,17,,Oconaluftee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,Open slopes,dfa0a175-e951-48c0-929e-922f0ab698bb,Ledge Bald,,Balsam Mountain Trail,Balsam Mountain Road,Certified,35° 38.573' N,83° 12.126' W,"35° 38' 34.356"" N","83° 12' 7.536"" W",Summit,988282,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,26
-83.10336168,35.64828023,,,2020-04-13T04:50:42.955Z,Derived/Calculated,COVE CREEK GAP,Great Smoky Mountians National Park,Haywood,North Carolina,309577.33,3946975.57,35.64827334,-83.10335774,Lower Cataloochee Creek,Hall Branch,4123.577637,,,m,UTM,NAD83,17,,Cataloochee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",63885422-039a-458f-9bc8-994d9dd2607e,Canadian Top,,Little Cataloochee Trail,Cataloochee Creek Road,Certified,35° 38.896' N,83° 6.201' W,"35° 38' 53.784"" N","83° 6' 12.088"" W",Summit,1019504,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,27
-83.10865221,35.64906425,,,2020-04-13T04:50:42.955Z,Derived/Calculated,COVE CREEK GAP,Great Smoky Mountians National Park,Haywood,North Carolina,309100.16,3947072.81,35.64905736,-83.10864827,Upper Cataloochee Creek,L Davidson Branch,3974.970215,,,m,UTM,NAD83,17,,Cataloochee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Upper slopes, mesas",9221e313-e8c4-455b-bfc6-446ff6c2ac9e,Bald Top,,Little Cataloochee Trail,Cataloochee Entrance Road,Certified,35° 38.943' N,83° 6.519' W,"35° 38' 56.607"" N","83° 6' 31.134"" W",Summit,1018934,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,28
-83.11149052,35.65718307,,,2020-04-13T04:50:42.955Z,Derived/Calculated,COVE CREEK GAP,Great Smoky Mountians National Park,Haywood,North Carolina,308862.52,3947978.97,35.65717618,-83.11148658,Lower Cataloochee Creek,,4369.767578,,,m,UTM,NAD83,17,,Cataloochee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",76f6b887-15a3-4b98-9695-4cec345d7ff6,Cooks Knob,,Little Cataloochee Trail,Old Cataloochee Turnpike,Certified,35° 39.431' N,83° 6.689' W,"35° 39' 25.834"" N","83° 6' 41.352"" W",Summit,1027395,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,29
-83.08832511,35.65961013,,,2020-04-13T04:50:42.955Z,Derived/Calculated,COVE CREEK GAP,Great Smoky Mountians National Park,Haywood,North Carolina,310965.54,3948203.38,35.65960324,-83.08832118,Lower Cataloochee Creek,,3957.223389,,,m,UTM,NAD83,17,,Cataloochee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",199a84c3-cba5-4284-99b6-e39c0443cb13,Noland Mountain,,Little Cataloochee Trail,Old Cataloochee Turnpike,Certified,35° 39.576' N,83° 5.299' W,"35° 39' 34.572"" N","83° 5' 17.956"" W",Summit,1021657,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,30
-83.19237494,35.66232767,,,2020-04-13T04:50:42.955Z,Derived/Calculated,LUFTEE KNOB,Great Smoky Mountians National Park,Haywood,North Carolina,301552.25,3948710.09,35.66232079,-83.19237097,Upper Cataloochee Creek,,1743,,,m,UTM,NAD83,17,,Oconaluftee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Upper slopes, mesas",e148d36e-d61c-4be2-9fdc-b7934a2e2170,Balsam High Top,,Balsam Mountain Trail,Balsam Mountain Road,Certified,35° 39.739' N,83° 11.542' W,"35° 39' 44.355"" N","83° 11' 32.536"" W",Summit,1018946,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,31
-83.12840851,35.66847771,,,2020-04-13T04:50:42.955Z,Derived/Calculated,LUFTEE KNOB,Great Smoky Mountians National Park,Haywood,North Carolina,307357.98,3949264.97,35.66847082,-83.12840457,Lower Cataloochee Creek,,5125.458008,,,m,UTM,NAD83,17,,Cataloochee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",14b9c21a-4ad9-4aa0-b5a4-ae03ce08c652,Indian Knob,,Pretty Hollow Gap Trail,Old Cataloochee Turnpike,Certified,35° 40.108' N,83° 7.704' W,"35° 40' 6.495"" N","83° 7' 42.256"" W",Summit,987365,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,32
-83.11690978,35.67033303,,,2020-04-13T04:50:42.955Z,Derived/Calculated,COVE CREEK GAP,Great Smoky Mountians National Park,Haywood,North Carolina,308403.32,3949448.29,35.67032614,-83.11690584,Lower Cataloochee Creek,,3973.095703,,,m,UTM,NAD83,17,,Cataloochee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",cc1c81ab-9b47-4195-9b96-e81c86c366b4,Fork Mountain,,Little Cataloochee Trail,Old Cataloochee Turnpike,Certified,35° 40.220' N,83° 7.014' W,"35° 40' 13.174"" N","83° 7' 0.861"" W",Summit,1020314,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,33
-83.18185579,35.67123261,,,2020-04-13T04:50:42.955Z,Derived/Calculated,LUFTEE KNOB,Great Smoky Mountians National Park,Haywood,North Carolina,302526.51,3949676.75,35.67122572,-83.18185182,Upper Cataloochee Creek,,6041.763184,,6041.763184,m,UTM,NAD83,17,,Cosby District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",730a3eeb-9db7-48d0-90b6-67fb76e2127b,Balsam Corner,,Mount Sterling Ridge Trail,Balsam Mountain Road,Certified,35° 40.274' N,83° 10.911' W,"35° 40' 16.413"" N","83° 10' 54.667"" W",Summit,1018944,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,34
-83.24921712,35.68843407,,,2020-04-13T04:50:42.955Z,Derived/Calculated,LUFTEE KNOB,Great Smoky Mountians National Park,Swain,North Carolina,296472.54,3951722.58,35.68842718,-83.24921314,Upper Raven Fork,,6150.18,,,m,UTM,NAD83,17,,Oconaluftee District,2020-04-13T04:50:42.955Z,GRSM - Great Smoky Mountains National Park,,"Mountain tops,high ridges",cec5cfe7-6416-47bc-8add-34a9bd6c6709,Mount Hardison,,Balsam Mountain Trail,Beech Gap Trailhead Parking #2,Certified,35° 41.306' N,83° 14.953' W,"35° 41' 18.338"" N","83° 14' 57.167"" W",Summit,1023661,C3022 ,,,,Public Map Display,Unrestricted,SER,GRSM User,GRSM User,>=1m and <5m,>=1m and <5m,35
